시각,온도,일사량,풍속,재실인원,전력수요,전력공급,전력균형,ESS_SOC,가격,재생에너지비율,안정성점수,비용효율성,ESS활용도,종합점수
2025-11-03 20:26,15.000000000000004,0.0,4.203844402576886,46,0.5,0.7057705045891868,0.20577050458918678,59.99298996593166,225.0,49.53,79.42,100.0,80.01,77.24
2025-11-03 20:56,15.000000000000004,0.0,0.023852786429741535,55,0.0,0.0,0.0,59.946693669635366,225.0,0.0,100.0,100.0,80.11,70.03
2025-11-03 21:26,12.928932188134528,0.0,5.369481794469476,33,0.0,1.470688606526619,1.470688606526619,59.85917601472822,70.0,14.07,0.0,100.0,80.28,48.59
2025-11-03 21:56,12.928932188134528,0.0,1.1813731840760382,65,0.0,0.0,0.0,59.73880564435785,225.0,0.0,100.0,100.0,80.52,70.13
2025-11-03 22:26,11.339745962155616,0.0,1.374310653918608,66,0.0,0.0,0.0,59.73417601472823,150.0,0.0,100.0,100.0,80.53,70.13
2025-11-03 22:56,11.339745962155616,0.0,3.0969313539630905,62,0.0,0.2821748755612613,0.2821748755612613,59.66285218310602,150.0,3.71,71.78,100.0,80.67,64.04
2025-11-03 23:26,10.340741737109317,0.0,4.109276809381024,33,0.0,0.659203943823297,0.659203943823297,59.655388283923,150.0,46.26,34.08,100.0,80.69,65.26
2025-11-03 23:56,10.340741737109317,0.0,3.2735449627049302,48,0.0,0.3332564291361299,0.3332564291361299,59.62622898986001,150.0,10.02,66.67,100.0,80.75,64.36
2025-11-04 00:26,10.0,0.0,7.459958827886899,67,3.0,3.9439635904822747,0.9439635904822747,59.609113625244824,56.0,69.19,68.53,100.0,80.78,79.63
2025-11-04 00:56,10.0,0.0,2.8650169149312004,68,0.0,0.0,0.0,59.57207658820779,150.0,0.0,100.0,100.0,80.86,70.21
2025-11-04 01:26,10.340741737109317,0.0,5.2537562880145146,36,0.0,1.3776324807867122,1.3776324807867122,59.46976306462871,70.0,11.6,0.0,100.0,81.06,48.17
2025-11-04 01:56,10.340741737109317,0.0,3.905729590453828,35,0.0,0.5660178421599356,0.5660178421599356,59.341020548470425,150.0,4.11,43.4,100.0,81.32,57.21
2025-11-04 02:26,11.339745962155614,0.0,8.446518203146589,36,2.0,3.8,1.7999999999999998,59.356215968865975,56.0,150.65,10.0,100.0,81.29,85.48
2025-11-04 02:56,11.339745962155614,0.0,7.737290583764505,33,3.5,4.4003814803622125,0.9003814803622125,59.35280838095528,56.0,92.64,74.27,100.0,81.29,87.05
2025-11-04 03:26,12.928932188134524,0.0,4.386291869970058,36,0.0,0.8017079419720571,0.8017079419720571,59.27728896518503,100.0,9.38,19.83,100.0,81.45,52.66
2025-11-04 03:56,12.928932188134524,0.0,4.694165948205302,68,0.0,0.9826501424391458,0.9826501424391458,59.259088674175665,100.0,34.48,1.73,100.0,81.48,54.42
2025-11-04 04:26,15.0,0.0,5.114439504214843,47,0.0,0.475,0.475,59.26537224224293,150.0,133.78,52.5,100.0,81.47,91.94
2025-11-04 04:56,15.0,0.0,5.951988782669416,69,0.5,1.9,1.4,59.266186454936275,56.0,105.43,0.0,100.0,81.47,71.72
2025-11-04 05:26,17.411809548974794,0.0,9.031993004771735,41,6.5,6.9996187037863296,0.49961870378632955,59.2557051557529,80.0,86.68,92.31,100.0,81.49,90.12
2025-11-04 05:56,17.411809548974794,0.0,9.82677130469359,55,9.0,9.014801166285627,0.014801166285627332,59.20930945561923,80.0,65.44,99.84,100.0,81.58,86.72
2025-11-04 06:26,20.0,0.0,4.914264255859317,52,0.0,1.1274547583380463,1.1274547583380463,59.18789088601238,100.0,33.91,0.0,100.0,81.62,53.88
2025-11-04 06:56,20.0,0.0,6.519076566638099,40,0.0,2.6319755520814034,2.6319755520814034,59.15798811361551,70.0,46.18,0.0,100.0,81.68,56.96
2025-11-04 07:26,22.588190451025206,207.0552360820166,6.183702289739693,32,6.0,6.180357585169041,0.1803575851690411,59.14415144290566,80.0,81.32,96.99,100.0,81.71,90.01
2025-11-04 07:56,22.588190451025206,207.0552360820166,3.968377729134052,50,3.0,4.527743425995157,1.5277434259951566,59.13272594023504,56.0,79.43,49.08,100.0,81.73,77.56
2025-11-04 08:26,25.0,399.99999999999994,5.184995555984976,48,0.0,2.8499999999999996,2.8499999999999996,59.180680516350314,56.0,313.13,0.0,100.0,81.64,123.69
2025-11-04 08:56,25.0,399.99999999999994,5.766881512757658,66,0.0,0.475,0.475,59.25131467116459,150.0,991.79,52.5,100.0,81.5,306.45
2025-11-04 09:26,27.071067811865476,565.6854249492379,2.555475543822564,462,9.0,10.74802307403552,1.7480230740355207,59.119960120229265,150.0,44.37,80.58,100.0,81.76,76.68
2025-11-04 09:56,27.071067811865476,565.6854249492379,7.127622015586292,489,12.0,14.188016297851938,2.188016297851938,58.93880043502314,150.0,43.29,81.77,100.0,82.12,76.79
2025-11-04 10:26,28.660254037844386,692.8203230275509,5.675846395743396,466,12.0,14.900648884269701,2.9006488842697014,58.84329019023045,56.0,60.33,75.83,100.0,82.31,79.62
2025-11-04 10:56,28.660254037844386,692.8203230275509,6.871451141802897,541,16.0,16.245844176104942,0.24584417610494214,58.76552064028995,120.0,67.06,98.46,100.0,82.47,87.0
2025-11-04 11:26,29.65925826289068,772.7406610312546,6.2635332772603896,471,15.0,17.01650748798704,2.0165074879870417,58.70452168793114,120.0,73.11,86.56,100.0,82.59,85.56
2025-11-04 11:56,29.65925826289068,772.7406610312546,3.22882104483471,498,15.0,15.00185567627046,0.0018556762704591279,58.60999786411312,120.0,60.74,99.99,100.0,82.78,85.88
2025-11-04 12:26,30.0,800.0,3.8768044223970004,460,15.0,15.753535249052772,0.7535352490527725,58.48576331488361,120.0,55.28,94.98,100.0,83.03,83.32
2025-11-04 12:56,30.0,800.0,2.8932433004998903,479,15.0,15.2,0.1999999999999993,58.323726277846575,150.0,47.76,98.67,100.0,83.35,82.45
2025-11-04 13:26,29.65925826289068,772.7406610312546,4.228979786766707,509,15.0,15.400578616220802,0.4005786162208018,58.15438493882339,100.0,46.99,97.33,100.0,83.69,82.0
2025-11-04 13:56,29.65925826289068,772.7406610312546,1.985174230525812,533,12.0,14.682072559593838,2.6820725595938377,58.02433691308843,56.0,52.39,77.65,100.0,83.95,78.5
2025-11-04 14:26,28.66025403784439,692.820323027551,4.010279783496493,511,12.0,13.776285775947926,1.776285775947926,57.862312407980724,100.0,45.32,85.2,100.0,84.28,78.7
2025-11-04 14:56,28.66025403784439,692.820323027551,3.5326943877298937,481,12.0,13.582420022711759,1.5824200227117586,57.763213187929175,80.0,57.19,86.81,100.0,84.47,82.12
2025-11-04 15:26,27.071067811865476,565.685424949238,3.4578790564295643,532,9.0,11.140806363522906,2.1408063635229055,57.57550174897715,70.0,36.65,76.21,100.0,84.85,74.43
2025-11-04 15:56,27.071067811865476,565.685424949238,2.85506021445986,512,9.0,10.748023074035522,1.7480230740355225,57.453406457301085,100.0,46.18,80.58,100.0,85.09,77.96
2025-11-04 16:26,25.0,399.99999999999994,6.5162244246860475,464,9.0,10.228522539667486,1.2285225396674857,57.35865521499765,80.0,51.27,86.35,100.0,85.28,80.73
2025-11-04 16:56,25.0,399.99999999999994,1.8574687960645297,545,6.0,7.6,1.5999999999999996,57.22439595573838,70.0,35.56,73.33,100.0,85.55,73.61
2025-11-04 17:26,22.58819045102521,207.05523608201682,7.6990900987836834,68,6.0,8.269575648009466,2.269575648009466,57.212403515660505,56.0,87.05,62.17,100.0,85.58,83.7
2025-11-04 17:56,22.58819045102521,207.05523608201682,6.348460725956084,42,5.5,6.364735806556807,0.8647358065568067,57.204993533268265,80.0,89.33,84.28,100.0,85.59,89.8
2025-11-04 18:26,20.0,9.797174393178826e-14,3.0017827562255057,61,0.0,0.25695754876346044,0.25695754876346044,57.14268317799306,225.0,3.86,74.3,100.0,85.71,65.97
2025-11-04 18:56,20.0,9.797174393178826e-14,2.0164202239117937,34,0.0,1.8614631347039767e-15,1.8614631347039767e-15,57.08249799280788,225.0,0.0,100.0,100.0,85.84,71.46
2025-11-04 19:26,17.41180954897479,0.0,3.723523232631489,63,0.0,0.490439915679324,0.490439915679324,57.0085744052414,225.0,6.07,50.96,100.0,85.98,60.75
2025-11-04 19:56,17.41180954897479,0.0,12.195794245388413,64,3.5,3.8,0.2999999999999998,57.11462220727421,120.0,453.49,91.43,100.0,85.77,182.67
